Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","152","Chile","5312","Area harvested","01371","Almonds, in shell","2013","2013","ha","8548","A","Official figure",""
"QCL","Crops and livestock products","152","Chile","5412","Yield","01371","Almonds, in shell","2013","2013","kg/ha","3495.9","E","Estimated value",""
"QCL","Crops and livestock products","152","Chile","5510","Production","01371","Almonds, in shell","2013","2013","t","29882.75","I","Imputed value",""
"QCL","Crops and livestock products","152","Chile","5312","Area harvested","01371","Almonds, in shell","2014","2014","ha","8569","A","Official figure",""
"QCL","Crops and livestock products","152","Chile","5412","Yield","01371","Almonds, in shell","2014","2014","kg/ha","3659","E","Estimated value",""
"QCL","Crops and livestock products","152","Chile","5510","Production","01371","Almonds, in shell","2014","2014","t","31353.72","I","Imputed value",""
"QCL","Crops and livestock products","152","Chile","5312","Area harvested","01371","Almonds, in shell","2015","2015","ha","8089","A","Official figure",""
"QCL","Crops and livestock products","152","Chile","5412","Yield","01371","Almonds, in shell","2015","2015","kg/ha","3920.1","E","Estimated value",""
"QCL","Crops and livestock products","152","Chile","5510","Production","01371","Almonds, in shell","2015","2015","t","31709.43","I","Imputed value",""
"QCL","Crops and livestock products","152","Chile","5312","Area harvested","01371","Almonds, in shell","2016","2016","ha","8113","A","Official figure",""
"QCL","Crops and livestock products","152","Chile","5412","Yield","01371","Almonds, in shell","2016","2016","kg/ha","4166","E","Estimated value",""
"QCL","Crops and livestock products","152","Chile","5510","Production","01371","Almonds, in shell","2016","2016","t","33800.51","I","Imputed value",""
"QCL","Crops and livestock products","152","Chile","5312","Area harvested","01371","Almonds, in shell","2017","2017","ha","8341","A","Official figure",""
"QCL","Crops and livestock products","152","Chile","5412","Yield","01371","Almonds, in shell","2017","2017","kg/ha","4390.1","E","Estimated value",""
"QCL","Crops and livestock products","152","Chile","5510","Production","01371","Almonds, in shell","2017","2017","t","36619.22","I","Imputed value",""
"QCL","Crops and livestock products","152","Chile","5312","Area harvested","01371","Almonds, in shell","2018","2018","ha","8863","A","Official figure",""
"QCL","Crops and livestock products","152","Chile","5412","Yield","01371","Almonds, in shell","2018","2018","kg/ha","4601.9","E","Estimated value",""
"QCL","Crops and livestock products","152","Chile","5510","Production","01371","Almonds, in shell","2018","2018","t","40788.04","I","Imputed value",""
"QCL","Crops and livestock products","152","Chile","5312","Area harvested","01371","Almonds, in shell","2019","2019","ha","8867","A","Official figure",""
"QCL","Crops and livestock products","152","Chile","5412","Yield","01371","Almonds, in shell","2019","2019","kg/ha","4757.9","E","Estimated value",""
"QCL","Crops and livestock products","152","Chile","5510","Production","01371","Almonds, in shell","2019","2019","t","42188.01","I","Imputed value",""
"QCL","Crops and livestock products","152","Chile","5312","Area harvested","01371","Almonds, in shell","2020","2020","ha","9057","A","Official figure",""
"QCL","Crops and livestock products","152","Chile","5412","Yield","01371","Almonds, in shell","2020","2020","kg/ha","4757.5","E","Estimated value",""
"QCL","Crops and livestock products","152","Chile","5510","Production","01371","Almonds, in shell","2020","2020","t","43088.7","I","Imputed value",""
"QCL","Crops and livestock products","152","Chile","5312","Area harvested","01371","Almonds, in shell","2021","2021","ha","9387","A","Official figure",""
"QCL","Crops and livestock products","152","Chile","5412","Yield","01371","Almonds, in shell","2021","2021","kg/ha","4899.1","E","Estimated value",""
"QCL","Crops and livestock products","152","Chile","5510","Production","01371","Almonds, in shell","2021","2021","t","45986.35","I","Imputed value",""
"QCL","Crops and livestock products","152","Chile","5312","Area harvested","01371","Almonds, in shell","2022","2022","ha","9401","A","Official figure",""
"QCL","Crops and livestock products","152","Chile","5412","Yield","01371","Almonds, in shell","2022","2022","kg/ha","5040.8","E","Estimated value",""
"QCL","Crops and livestock products","152","Chile","5510","Production","01371","Almonds, in shell","2022","2022","t","47388.12","I","Imputed value",""
"QCL","Crops and livestock products","152","Chile","5312","Area harvested","01343","Apricots","2013","2013","ha","1406","A","Official figure",""
